store_id,State,city,place_name,store_location,address,phone,redirectlink,direction,Hours_Monday,Hours_Tuesday,Hours_Wednesday,Hours_Thursday,Hours_Friday,Hours_Saturday,Hours_Sunday,custom_store_facilities,place_id,google_review_rating,google_review_count,latitude,longitude,store_id
3,Maharashtra,Mumbai,Pressto India: Laundry & Dry Cleaning ,Malad,"Shop No. 1A/03, Ground floor, Plot of BLASÉ B. CORREA,Link Road, Near Chincholi Signal, Malad (West),Mumbai,MH,400064,IN",7208972753,,https://maps.app.goo.gl/p36qQLncYdSVCzLT9,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.7,35,19.1793664,72.8365031,
1,Delhi NCR,Delhi,Pressto India: Laundry & Dry Cleaning ,Punjabi Bagh,"unit no 1, building No. 47 North Avenue Road,ground floor, next to modern bazaar, Punjabi Bagh,Delhi,DL,110026,IN",7208972765,,https://maps.app.goo.gl/1NwGVZ9ikaoBwftHA,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,4,29,28.6661898,77.1248927,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Lower Parel,"243/Center Point Condominium, Ground Floor,NM Joshi Marg,Mumbai,MH,400013,IN",2261797777,,https://maps.app.goo.gl/F6cwJb3rXeJ33SbP7,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-15:00,Closed,,,4.3,40,18.9929903,72.8320237,
3,Maharashtra,Mumbai,Pressto India: Laundry & Dry Cleaning ,Santacruz,"Shop No.C/1, Plot No. 64B, Saryu Premises,Linking Road, Next to ICICI Bank,Mumbai,MH,400054,IN",7208972734,,https://maps.app.goo.gl/Nu8ZrTdq1R1SRMao9,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,4.4,10,19.0760791,72.7994905,
1,Delhi NCR,New Delhi,Pressto India: Laundry & Dry Cleaning ,Vasant Vihar,"C-4, Main Market,Cross Road 7,New Delhi,DL,110057,IN",7208972760,,https://maps.app.goo.gl/FtywFDLaBXUh8TwJ8,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,4.1,31,28.5680157,77.1559386,
2,Karnataka,Bengaluru,Pressto India: Laundry & Dry Cleaning,Whitefield,"209,Saranya Square,,Near Laughing Waters,Ramagondanahalli,Whitefield,Bangalore,KA,560066,IN",7208972738,,https://maps.app.goo.gl/YwnrRebRvEoceDV29,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,4.5,41,12.957589,77.7351332,
1,Delhi NCR,New Delhi,Pressto India: Laundry & Dry Cleaning,Greater Kailash II,"S-349,Block S, Greater Kailash II, Greater Kailash,New Delhi,DL,110048,IN",7208972764,,https://maps.app.goo.gl/c2FniBp2x3ZfS6Te9,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,3.7,16,28.5402729,77.2308426,
1,Delhi NCR,Delhi,COBBLER by pressto: Shoe & Bag Care,Defence Colony,"A/285, Bhishma Pitamah Marg, opp. Kotla Mubarakpur, Road,Defence Colony, New Delhi,Delhi,DL,110024,IN",1149856952,,https://maps.app.goo.gl/E8yy9ND1ZpZj99H26,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-19:00,,,4.7,20,28.573415,77.2261321,2.4197E+018
2,Karnataka,Koramangala,Pressto India: Laundry & Dry Cleaning,Koramangala,"Ground Floor, Shop No. 1, Safa Corner, No. 43,,Jaksandra Main Road, 1st Block,Koramangala.,Koramangala,KA,560034,IN",7208972773,,https://maps.app.goo.gl/VvPsegykndKt3yr58,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.7,75,12.9292651,77.631804,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Powai,"Delphi Business Park,B Wing,Hiranandani Business Park,Powai,Mumbai,MH,400076,IN",9152155150,,https://maps.app.goo.gl/2fn6ran6P38ERacn9,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,4,94,19.1204888,72.9066936,
3,Maharashtra,Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Juhu Supreme,"Shop No 1, Juhu Supreme Shopping Center,A, 9, Cross Road Number 8,Mumbai,MH,400049,IN",7208972735,,https://maps.app.goo.gl/TaPNtAmNghC6S8qo7,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.8,30,19.1093144,72.8278398,11
3,Maharashtra,Navi Mumbai,Pressto Drycleaning & Laundry Pvt. Ltd,Kharghar,"Shop No.34, on the Ground & First Floor,,Patel Heritage CHSL, Sector 7, Plot No.15 & 17, Kharghar, Navi Mumbai,Navi Mumbai,MH,410210,IN",7208972758,,https://maps.app.goo.gl/SXEgKy6aweQyxueh6,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,3.8,63,19.034838,73.0626286,
3,Maharashtra,Mumbai,COBBLER by pressto - Shoes & Bag Care,Colaba,"Shop No.2, President House, C S No - 72, Shahid Bhagat Singh Road,Opp Sassoon Dock, Colaba,Mumbai,MH,400005,IN",9004297966,,https://maps.app.goo.gl/4jPPyVu3onnGNVmg6,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,10:00-19:00,,,2.7,7,18.9169155,72.8241745,
